,Gene stable ID,Transcript stable ID,GO domain,GO term name,GO term accession
285,ENSG00000198695,ENST00000361681,molecular_function,NADH dehydrogenase (ubiquinone) activity,GO:0008137
9465,ENSG00000225351,ENST00000426120,molecular_function,metal ion binding,GO:0046872
11436,ENSG00000232289,ENST00000440485,molecular_function,G protein-coupled receptor activity,GO:0038023
18652,ENSG00000231257,ENST00000417183,molecular_function,tubulin N-acetyltransferase activity,GO:0019799
20385,ENSG00000224708,ENST00000547421,molecular_function,acetylcholine receptor activator activity,GO:0030549
21127,ENSG00000233813,ENST00000430402,molecular_function,structural constituent of ribosome,GO:0003735
24288,ENSG00000243958,ENST00000439630,molecular_function,threonine-type endopeptidase activity,GO:0016787
24927,ENSG00000234549,ENST00000416917,molecular_function,tubulin N-acetyltransferase activity,GO:0019799
25482,ENSG00000239836,ENST00000420182,molecular_function,threonine-type endopeptidase activity,GO:0016787
27733,ENSG00000276886,ENST00000300177,molecular_function,protein homodimerization activity,GO:0042803
29685,ENSG00000206409,ENST00000400157,molecular_function,lipid transporter activity,GO:0005319
30144,ENSG00000235155,ENST00000419471,molecular_function,transferase activity,GO:0016740
30811,ENSG00000230780,ENST00000427264,molecular_function,G protein-coupled receptor activity,GO:0038023
31245,ENSG00000227861,ENST00000447852,molecular_function,protein binding,GO:0005515
34702,ENSG00000229524,ENST00000442479,molecular_function,protein binding,GO:0005515
35950,ENSG00000206500,ENST00000376750,molecular_function,metal ion binding,GO:0046872
36624,ENSG00000229125,ENST00000454071,molecular_function,G protein-coupled receptor activity,GO:0038023
39894,ENSG00000233345,ENST00000430216,molecular_function,ATP binding,GO:0005524
40433,ENSG00000096171,ENST00000211402,molecular_function,ATP binding,GO:0005524
42906,ENSG00000231002,ENST00000450392,molecular_function,zinc ion binding,GO:0008270
43220,ENSG00000236399,ENST00000425845,molecular_function,zinc ion binding,GO:0008270
44991,ENSG00000226882,ENST00000417834,molecular_function,GTP binding,GO:0005525
47435,ENSG00000238130,ENST00000383303,molecular_function,protein binding,GO:0005515
47526,ENSG00000230700,ENST00000424502,molecular_function,protein kinase regulator activity,GO:0019887
48382,ENSG00000206511,ENST00000383638,molecular_function,G protein-coupled receptor activity,GO:0038023
49095,ENSG00000231003,ENST00000428302,molecular_function,heparin binding,GO:0008201
50591,ENSG00000235744,ENST00000452598,molecular_function,protein binding,GO:0005515
52651,ENSG00000224859,ENST00000446493,molecular_function,zinc ion binding,GO:0008270
53040,ENSG00000129862,ENST00000250823,molecular_function,protein binding,GO:0005515
53288,ENSG00000227600,ENST00000525601,molecular_function,palmitoyl hydrolase activity,GO:0098599
53747,ENSG00000225967,ENST00000439425,molecular_function,ATP binding,GO:0005524
53830,ENSG00000096155,ENST00000383446,molecular_function,protein binding,GO:0005515
54296,ENSG00000229685,ENST00000454805,molecular_function,peptide antigen binding,GO:0042605
55213,ENSG00000237508,ENST00000440590,molecular_function,protein binding,GO:0005515
55337,ENSG00000229684,ENST00000422650,molecular_function,GTP binding,GO:0005525
55463,ENSG00000092377,ENST00000383032,molecular_function,protein binding,GO:0005515
55706,ENSG00000228662,ENST00000430073,molecular_function,protein binding,GO:0005515
56403,ENSG00000242389,ENST00000358944,molecular_function,RNA binding,GO:0003676
